0,-0.0006,0.0008
1,0.0000,0.0033
2,0.0006,0.0026
3,0.0031,0.0045
4,0.0031,0.0056
5,0.0018,0.0084
6,0.0037,0.0091
7,0.0031,0.0123
8,0.0061,0.0127
9,0.0061,0.0159
10,0.0079,0.0165
11,0.0098,0.0196
12,0.0104,0.0225
13,0.0116,0.0240
14,0.0092,0.0271
15,0.0098,0.0289
16,0.0153,0.0318
17,0.0140,0.0337
18,0.0153,0.0368
19,0.0146,0.0381
20,0.0159,0.0420
21,0.0189,0.0438
22,0.0195,0.0469
23,0.0183,0.0502
24,0.0208,0.0507
25,0.0226,0.0543
26,0.0220,0.0578
27,0.0226,0.0586
28,0.0238,0.0630
29,0.0269,0.0657
30,0.0244,0.0682
31,0.0275,0.0719
32,0.0311,0.0722
33,0.0317,0.0779
34,0.0299,0.0791
35,0.0323,0.0811
36,0.0305,0.0846
37,0.0342,0.0879
38,0.0336,0.0895
39,0.0354,0.0942
40,0.0366,0.0958
41,0.0372,0.0985
42,0.0397,0.1033
43,0.0403,0.1045
44,0.0403,0.1084
45,0.0427,0.1101
46,0.0446,0.1153
47,0.0446,0.1150
48,0.0482,0.1223
49,0.0476,0.1244
50,0.0476,0.1245
51,0.0494,0.1335
52,0.0488,0.1250
53,0.0513,0.1400
54,0.0525,0.1339
55,0.0531,0.1395
56,0.0592,0.1491
57,0.0555,0.1379
58,0.0586,0.1571
59,0.0574,0.1448
60,0.0592,0.1570
61,0.0598,0.1562
62,0.0616,0.1564
63,0.0635,0.1664
64,0.0647,0.1599
65,0.0684,0.1727
66,0.0684,0.1681
67,0.0678,0.1761
68,0.0696,0.1782
69,0.0696,0.1795
70,0.0720,0.1857
71,0.0720,0.1842
72,0.0757,0.1933
73,0.0775,0.1925
74,0.0781,0.1987
75,0.0793,0.2019
76,0.0800,0.2031
77,0.0806,0.2074
78,0.0836,0.2104
79,0.0842,0.2143
80,0.0873,0.2174
81,0.0873,0.2203
82,0.0885,0.2239
83,0.0897,0.2270
84,0.0916,0.2310
85,0.0928,0.2331
86,0.0934,0.2369
87,0.0940,0.2388
88,0.0977,0.2424
89,0.0989,0.2443
90,0.1013,0.2499
91,0.1032,0.2519
92,0.1025,0.2558
93,0.1050,0.2586
94,0.1068,0.2607
95,0.1068,0.2657
96,0.1080,0.2675
97,0.1099,0.2726
98,0.1123,0.2740
99,0.1135,0.2783
100,0.1160,0.2828
101,0.1160,0.2840
102,0.1172,0.2888
103,0.1202,0.2907
104,0.1202,0.2946
105,0.1209,0.2981
106,0.1251,0.3014
107,0.1270,0.3048
108,0.1288,0.3079
109,0.1288,0.3117
110,0.1312,0.3151
111,0.1318,0.3178
112,0.1318,0.3223
113,0.1355,0.3246
114,0.1367,0.3276
115,0.1373,0.3336
116,0.1379,0.3344
117,0.1416,0.3394
118,0.1428,0.3407
119,0.1447,0.3460
120,0.1465,0.3490
121,0.1483,0.3521
122,0.1477,0.3576
123,0.1520,0.3588
124,0.1520,0.3637
125,0.1556,0.3679
126,0.1556,0.3704
127,0.1581,0.3760
128,0.1599,0.3761
129,0.1636,0.3836
130,0.1630,0.3861
131,0.1624,0.3901
132,0.1654,0.3945
133,0.1691,0.3974
134,0.1697,0.4013
135,0.1709,0.4061
136,0.1740,0.4105
137,0.1758,0.4137
138,0.1770,0.4175
139,0.1788,0.4212
140,0.1807,0.4263
141,0.1819,0.4304
142,0.1849,0.4345
143,0.1855,0.4378
144,0.1886,0.4424
145,0.1886,0.4472
146,0.1929,0.4504
147,0.1941,0.4558
148,0.1978,0.4581
149,0.1984,0.4649
150,0.1990,0.4670
151,0.2008,0.4728
152,0.2045,0.4775
153,0.2045,0.4777
154,0.2075,0.4869
155,0.2106,0.4885
156,0.2124,0.4944
157,0.2142,0.4962
158,0.2148,0.5012
159,0.2167,0.5049
160,0.2173,0.5086
161,0.2210,0.5144
162,0.2222,0.5164
163,0.2246,0.5218
164,0.2289,0.5259
165,0.2295,0.5297
166,0.2319,0.5342
167,0.2313,0.5377
168,0.2344,0.5430
169,0.2362,0.5452
170,0.2399,0.5512
171,0.2399,0.5543
172,0.2423,0.5591
173,0.2441,0.5630
174,0.2484,0.5675
175,0.2496,0.5716
176,0.2515,0.5745
177,0.2533,0.5790
178,0.2539,0.5834
179,0.2570,0.5875
180,0.2600,0.5914
181,0.2606,0.5962
182,0.2637,0.5999
183,0.2649,0.6033
184,0.2667,0.6079
185,0.2704,0.6118
186,0.2710,0.6162
187,0.2734,0.6201
188,0.2747,0.6240
189,0.2789,0.6279
190,0.2832,0.6331
191,0.2850,0.6360
192,0.2850,0.6407
193,0.2875,0.6438
194,0.2905,0.6485
195,0.2924,0.6527
196,0.2948,0.6568
197,0.2942,0.6619
198,0.2985,0.6649
199,0.3015,0.6694
200,0.3040,0.6751
201,0.3070,0.6780
202,0.3082,0.6836
203,0.3119,0.6876
204,0.3125,0.6921
205,0.3156,0.6974
206,0.3186,0.7023
207,0.3192,0.7076
208,0.3223,0.7110
209,0.3253,0.7175
210,0.3272,0.7209
211,0.3296,0.7263
212,0.3320,0.7318
213,0.3320,0.7360
214,0.3357,0.7424
215,0.3394,0.7472
216,0.3412,0.7518
217,0.3418,0.7565
218,0.3461,0.7620
219,0.3479,0.7670
220,0.3491,0.7711
221,0.3528,0.7786
222,0.3546,0.7806
223,0.3571,0.7893
224,0.3613,0.7916
225,0.3638,0.7975
226,0.3656,0.8029
227,0.3668,0.8066
228,0.3687,0.8144
229,0.3723,0.8165
230,0.3760,0.8240
231,0.3772,0.8282
232,0.3809,0.8336
