0,0.0012,0.0028,0.0018,,1.5
1,0.0031,0.005,0.00465,,
2,0.0031,0.0068,0.00465,,
3,0.0037,0.0066,0.00555,,
4,0.0031,0.0106,0.00465,,
5,0.0012,0.0109,0.0018,,
6,0.0067,0.0117,0.01005,,
7,0.0061,0.0148,0.00915,,
8,0.0061,0.0172,0.00915,,
9,0.0061,0.0192,0.00915,,
10,0.0092,0.0206,0.0138,,
11,0.011,0.0232,0.0165,,
12,0.0092,0.0245,0.0138,,
13,0.011,0.0274,0.0165,,
14,0.0116,0.0296,0.0174,,
15,0.0116,0.0322,0.0174,,
16,0.0159,0.0337,0.02385,,
17,0.0134,0.0358,0.0201,,
18,0.0159,0.0391,0.02385,,
19,0.0165,0.0403,0.02475,,
20,0.0159,0.0449,0.02385,,
21,0.0195,0.046,0.02925,,
22,0.0177,0.0479,0.02655,,
23,0.0195,0.0515,0.02925,,
24,0.0214,0.052,0.0321,,
25,0.022,0.0563,0.033,,
26,0.0238,0.0583,0.0357,,
27,0.0256,0.0614,0.0384,,
28,0.0256,0.0635,0.0384,,
29,0.0256,0.0651,0.0384,,
30,0.0256,0.0694,0.0384,,
31,0.0281,0.0708,0.04215,,
32,0.0299,0.0759,0.04485,,
33,0.0317,0.0747,0.04755,,
34,0.0305,0.0812,0.04575,,
35,0.0323,0.0792,0.04845,,
36,0.0342,0.0857,0.0513,,
37,0.036,0.0897,0.054,,
38,0.0342,0.0867,0.0513,,
39,0.0385,0.096,0.05775,,
40,0.0385,0.0935,0.05775,,
41,0.0385,0.1011,0.05775,,
42,0.0403,0.0997,0.06045,,
43,0.0415,0.1044,0.06225,,
44,0.0415,0.11,0.06225,,
45,0.0427,0.1073,0.06405,,
46,0.0458,0.116,0.0687,,
47,0.0452,0.1134,0.0678,,
48,0.0464,0.1188,0.0696,,
49,0.0452,0.123,0.0678,,
50,0.0488,0.1242,0.0732,,
51,0.0494,0.1284,0.0741,,
52,0.0525,0.1293,0.07875,,
53,0.0555,0.1339,0.08325,,
54,0.0531,0.1371,0.07965,,
55,0.0549,0.1383,0.08235,,
56,0.0549,0.1439,0.08235,,
57,0.0574,0.1447,0.0861,,
58,0.058,0.149,0.087,,
59,0.0574,0.1523,0.0861,,
60,0.0604,0.1528,0.0906,,
61,0.061,0.1598,0.0915,,
62,0.0629,0.1598,0.09435,,
63,0.0629,0.1645,0.09435,,
64,0.0647,0.1673,0.09705,,
65,0.0653,0.1683,0.09795,,
66,0.0665,0.176,0.09975,,
67,0.0671,0.1759,0.10065,,
68,0.069,0.1802,0.1035,,
69,0.0739,0.184,0.11085,,
70,0.0726,0.1833,0.1089,,
71,0.0751,0.1916,0.11265,,
